area_sqft,bedrooms,bathrooms,floor,age_years,location_score,has_gated,distance_km,parking,near_metro,price
1399,2,1,8,10,7.54,0,3.75,1,1,8382602
1145,2,1,0,5,8.63,0,8.71,1,0,7475411
1459,3,2,1,9,5.47,0,9.71,0,0,7351474
1809,3,2,1,6,6.13,0,13.13,1,0,9656759
1106,1,1,5,2,10.0,0,14.96,1,0,7599828
1106,4,3,3,2,9.1,0,4.05,1,0,7349646
1832,2,1,10,3,7.69,0,2.09,1,0,11272480
1507,3,2,9,19,6.43,1,16.33,1,1,9634604
1012,3,3,2,6,6.65,1,3.96,1,0,6892343
1417,4,3,2,11,5.99,1,0.33,0,0,8707940
1015,3,2,2,3,5.26,1,5.15,1,0,6129171
1014,4,4,5,4,8.39,1,4.43,1,0,7714285
1297,3,2,7,1,7.81,0,11.31,1,0,7726623
435,4,3,10,2,8.1,1,5.29,1,0,3086365
510,2,1,6,14,6.49,1,2.15,1,0,3577003
975,4,4,3,7,7.38,0,16.94,0,0,5671647
795,3,2,10,3,6.35,0,8.09,0,0,4126232
1326,4,4,11,13,5.91,1,4.98,1,0,7911873
837,3,3,3,2,9.5,0,1.73,1,0,5898615
635,3,2,10,30,7.18,1,2.34,0,0,4150157
1786,3,2,9,3,7.76,0,5.54,0,0,10314728
1110,3,2,10,3,8.25,0,0.37,1,0,7012382
1227,2,1,10,3,7.2,0,1.48,1,0,7489065
630,2,1,10,1,7.36,0,6.26,1,0,3801660
982,2,2,1,1,5.37,0,3.27,1,1,5619432
1244,2,2,0,8,5.66,1,2.57,1,0,7151035
740,4,4,8,17,5.58,1,0.82,1,0,4954510
1350,2,1,11,13,7.91,1,2.92,1,0,9405893
960,5,5,11,1,7.11,0,7.36,1,0,5586137
1083,3,3,1,6,5.66,1,1.53,1,0,6360616
959,2,2,7,1,7.87,0,0.2,1,1,6267453
1941,4,3,8,0,7.82,0,5.52,1,0,11418437
1195,3,3,3,9,5.96,0,17.99,1,0,6383368
777,3,2,7,6,6.96,0,4.67,0,0,4120728
1529,3,2,8,1,7.82,0,0.64,0,1,9155774
712,3,2,9,0,5.71,0,1.93,0,0,3511038
1284,2,2,9,37,7.85,1,10.11,0,0,8495110
416,5,5,4,0,7.45,1,1.32,0,0,3089670
669,5,4,6,5,5.5,0,4.68,1,0,3974470
1279,3,2,9,6,7.33,0,2.58,1,1,7662089
1495,2,1,3,1,7.55,0,1.16,1,0,9122775
1269,3,2,0,1,6.06,0,8.39,0,0,6825713
1154,2,1,2,3,6.18,1,6.79,1,1,7271832
1080,1,1,4,11,5.49,0,5.42,1,0,5745637
609,2,2,2,6,6.33,1,1.35,1,0,4005936
912,3,2,11,8,6.98,1,0.51,1,1,6231679
1016,4,3,10,34,6.18,0,4.29,0,0,5199807
1623,3,2,6,12,4.77,1,4.03,0,0,9206488
1337,3,3,11,5,5.97,0,1.04,1,1,7693374
495,3,3,8,5,6.37,0,0.29,0,0,2613488
1330,3,3,11,8,8.23,0,0.42,1,0,8071704
1046,3,2,5,9,7.89,0,24.65,1,0,6036106
929,5,4,9,6,8.25,0,7.65,0,0,6131676
1445,1,1,0,8,5.89,0,12.75,0,0,7662577
1612,4,4,6,0,7.21,1,1.08,1,0,10805625
1573,3,3,2,4,3.37,1,16.17,1,0,7889280
864,3,3,4,3,7.64,1,0.77,1,0,6236811
1076,3,3,9,1,7.92,0,3.56,0,0,6945293
1333,3,3,3,1,6.47,1,8.85,0,1,8046099
1590,4,3,9,7,7.44,1,2.15,0,0,10497602
1008,4,4,4,6,4.73,1,2.77,0,0,5276048
1126,3,2,4,2,5.8,1,0.69,1,0,6905335
757,2,1,5,5,8.15,1,0.66,0,0,5589217
722,3,2,9,5,7.77,0,4.83,1,1,4503476
1525,4,3,11,2,6.38,1,5.63,1,0,9401950
1742,2,1,9,8,8.22,0,7.51,0,0,10765923
1171,3,2,10,12,7.21,1,4.07,1,0,7977137
1601,3,2,5,13,6.24,0,5.19,1,0,8566695
1345,3,2,7,7,6.73,0,0.2,1,0,7715613
942,2,1,7,6,6.32,0,0.88,1,0,5392249
1345,3,2,10,1,5.22,1,20.97,1,0,7723525
1815,4,3,8,3,8.89,0,0.4,1,0,11927435
1186,2,1,7,1,6.15,0,5.68,1,0,6322981
1826,2,2,10,27,5.75,1,0.97,1,0,11755458
300,5,5,1,1,4.71,1,6.31,1,0,1839029
1529,2,2,11,1,3.05,0,6.12,1,0,6495519
1235,4,4,9,18,8.05,0,1.33,1,0,8008127
1080,3,2,11,23,8.19,1,1.57,1,0,7378129
1237,2,2,10,12,8.79,1,5.32,1,0,9080035
405,4,3,0,0,6.78,0,2.47,0,0,2004214
1112,3,2,9,0,6.52,1,1.08,1,0,7261159
1343,3,3,1,4,6.24,0,6.58,1,0,7721923
1791,3,2,1,1,6.38,1,0.84,1,0,11281962
993,3,3,11,0,8.68,1,9.68,1,0,6835925
877,2,2,2,5,6.96,0,3.61,1,0,5603763
999,3,3,9,23,7.57,0,0.56,1,0,5932227
1566,5,5,6,3,6.34,1,5.92,0,0,9444563
1332,2,1,1,9,8.98,1,3.66,1,0,10303691
988,3,2,0,8,4.14,0,1.77,1,1,4579396
1405,3,2,5,2,5.17,1,2.75,1,0,8753933
1239,4,3,8,8,7.57,1,1.77,1,0,8687742
1587,2,2,2,2,9.63,0,1.53,1,0,11311834
919,5,5,5,1,6.66,1,0.89,0,0,6045361
1069,3,3,2,10,5.74,0,2.25,0,0,5900289
1043,2,1,0,1,8.5,1,1.44,1,1,7536094
615,2,1,11,46,7.49,0,5.75,0,0,3496998
1318,2,1,4,2,8.94,0,5.76,1,0,8176937
1304,3,2,9,7,5.06,0,3.48,1,0,6879791
1202,3,3,10,4,8.82,1,7.52,1,1,9014105
1106,4,3,3,1,4.68,1,9.2,0,0,5893800
634,3,2,6,0,6.57,1,4.33,1,0,3827403
1032,2,1,5,8,7.62,1,4.82,1,0,7199443
1063,3,3,9,13,7.28,0,1.66,1,1,6923843
879,3,3,6,15,8.59,1,11.26,1,0,6317104
1135,2,1,4,5,4.26,0,0.2,0,0,5197703
1362,2,1,3,12,7.21,1,2.14,1,0,8985763
1954,1,1,6,9,8.8,0,6.4,1,0,12959621
1270,3,2,6,10,7.09,1,0.42,1,0,8417916
1303,3,3,5,5,5.29,1,1.01,1,0,7780795
1170,3,3,7,8,8.51,1,4.45,1,0,8756166
432,4,3,3,13,6.03,0,4.1,0,0,2494359
1189,4,3,9,4,5.76,0,6.71,0,0,6126021
1224,3,3,4,13,5.57,0,8.37,1,0,6214754
2185,4,3,3,7,6.7,1,0.69,1,0,14724712
1123,2,2,11,1,7.27,0,0.2,0,0,6388268
1321,2,1,0,0,5.1,1,5.85,1,0,7679692
1186,2,1,11,4,5.4,0,1.79,1,0,5890133
733,2,1,7,6,5.96,0,4.92,1,0,4305343
1657,3,2,0,15,5.57,1,0.82,1,0,10028479
1501,4,4,4,1,7.06,0,3.17,1,0,8684192
1516,1,1,5,13,7.54,1,3.51,1,0,10535099
836,2,1,5,16,7.34,1,4.4,1,0,5402623
1761,3,2,4,1,7.34,0,3.6,1,0,10676108
639,4,3,2,15,9.51,0,3.42,1,0,4430869
1435,3,2,4,38,7.64,0,2.02,0,0,8373943
2076,3,2,11,10,8.18,0,0.37,0,0,12781987
804,1,1,7,12,6.38,1,0.47,1,0,5092260
973,2,1,1,42,8.42,0,2.84,1,0,6203385
1240,5,4,5,7,6.31,0,2.2,1,0,6737790
999,5,5,8,3,7.62,0,3.63,1,0,6265075
580,1,1,7,15,4.94,0,1.82,1,0,2744555
1227,5,5,10,8,7.25,0,5.82,1,1,6863097
775,3,2,7,7,5.54,1,9.97,1,0,5123301
